"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"354","10.07.2020,  34922/20/45640-ВЕ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Профинанс Групп», ООО ПКО «ПФГ»","ОГРН 1193443008010,  ИНН 3461065100","АО «АльфаСтрахование», период действия договора с 02.07.2025 по 01.07.2026","443100,  Самарская обл,  г.о. Самара,  г. Самара, ул. Самарская,  д. 270, помещ. 3Н","profinansgroup.ru","profinansgrupp@yandex.ru info@profinansgroup.ru","","","1"
"355","13.07.2020,  77922/20/441353-СЗ","Общество с ограниченной ответственностью «Потерна», ООО «Потерна»","ОГРН 1207700168664,  ИНН 9721098327","АО «АльфаСтрахование», период действия договора с 18.06.2020 по 17.06.2021","109428,  г. Москва,  просп. Рязанский, д. 24,  корп. 2, этаж 4, помещ. IX,  ком. 19","poterna77.ru","","","17.05.2022, 77922/22/695182-СЗ",""
"356","22.07.2020,  11922/20/19349-ДК","Общество с ограниченной ответственностью «Юрист Центр», ООО «ПКО «ЮЦ»","ОГРН 1141101003042,  ИНН 1101150188","САО «ВСК», период действия договора с 07.04.2026 до 06.04.2027","167005,  Республика Коми,  г. Сыктывкар,  Октябрьский проспект,  д. 170, кв.128","www.юристцентр11.рф","nast1984@lenta.ru","","","1"
"357","27.07.2020,  82907/20/19905-ГТ","Общество с ограниченной ответственностью «ПРОГРЕСС СЕРВИС», ООО «ПРОГРЕСС СЕРВИС»","ОГРН 1159102131760,  ИНН 9102201601","ООО «Абсолют Страхование», период действия договора с 10.06.2022 по 09.10.2023","426009,  Удмуртская Республика, г.о. город Ижевск,  г. Ижевск,  ул. Ухтомского,  д. 24, этаж 1,офис 21","progress-srv.ru","info@progress-srv.ru","","13.09.2022, 359",""
"358","28.07.2020,  21907/20/23589-ММ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ДЖИ ТИ КОЛЛЕКШН ГРУПП», ООО ПКО «ДЖИ ТИ»","ОГРН 1192130008707,  ИНН 2130212835","АО «Совкомбанк Страхование», период действия договора с 11.09.2025 по 10.09.2026","117105,  г. Москва,  вн.тер.г. муниципальный округ Нагатино-Садовники,  Варшавское шоссе, д. 35, стр. 1","gtcollection.ru","info@gtcollector.ru","","","3"
"359","29.07.2020,  78922/20/310899-АЛ","Общество с ограниченной ответственностью «профессиональная коллекторская организация «Красная звезда», ООО «ПКО «Красная звезда»","ОГРН 1207800000033,  ИНН 7805761120","ООО «Зетта Страхование», период действия договора с 23.03.2026 по 22.03.2027","195160,  г. Санкт-Петербург, вн.тер.г.муниципальный округ Большая Охта,  наб. Свердловская,  д. 60, литера В,  помещ.1-Н,  помещ. 143/каб 211","krzvezda.ru","info@krzvezda.ru","","","1"
"360","30.07.2020,  77922/20/456182-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЦДУ Инвест», ООО ПКО «ЦДУ Инвест»","ОГРН 5147746158632,  ИНН 7727844641","САО «ВСК», период действия договора с 04.03.2026 по 03.03.2027","117420, г. Москва,  ул. Наметкина, д. 15, этаж 1, помещ. I, ком. 12","cdu-invest.ru","sp@gkcdu.ru info@cdu-invest.ru","","","3"
"361","04.08.2020,  77922/20/462832-СЗ","Общество с ограниченной ответственностью «Коллекторское Агенство «Щит», ООО «Коллекторское Агенство «Щит»","ОГРН 1207700071402,  ИНН 7727439837","ООО «Абсолют Страхование», период действия договора с 18.05.2024 по 17.05.2025","117452,  г. Москва,  ул. Азовская,  д. 35, корп. 3, П I, этаж 2Ч, ком. 7","shield-agency.ru","info@shield-agensy.ru","","","1"
"362","06.08.2020,  77922/20/465660-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Коллект Солюшенс», ООО «ПКО «Коллект Солюшенс»","ОГРН 1207700116513,  ИНН 7720498833","АО «АльфаСтрахование», период действия договора с 26.06.2025 по 25.06.2026","111588,  г. Москва, вн. тер. г. муниципальный округ Новогиреево, пр-кт. Свободный,  д. 21/2, помещ. 1/1","scollect.ru","info@scollect.ru","","","1"
"363","13.08.2020,  59922/20/61042-СН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Мой юрист капитал», ООО ПКО «Мой юрист капитал»","ОГРН 1205900015892,  ИНН 5919030473","АО «Совкомбанк страхование», период действия договора с 15.07.2025 по 14.07.2026","618546,  Пермский край,  г. Соликамск,  пр-т. Ленина, д. 30, кв. 103","mlcapital.ru","SITEINFO@MLCAPITAL.RU","","","1"
"364","13.08.2020,  22922/20/49942-ДЛ","Общество с ограниченной ответственностью профессиональная коллекторская организация «ПДП ГРУПП», ООО ПКО «ПДП ГРУПП»","ОГРН 1132224006914,  ИНН 2224163527","СПАО «Ингосстрах», период действия договора с 09.06.2026 по 08.06.2027","656038,  Алтайский край,  г. Барнаул,  просп. Комсомольский, д. 120, офис 104","pdpgrupp.ru","ekfin@bk.ru","","","1"
"365","14.08.2020, 77922/20/472023-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Финэкс», ООО ПКО «Финэкс»","ОГРН 1207700002520,  ИНН 9706004571","АО «АльфаСтрахование», период действия договора с 30.07.2025 по 29.07.2026","119180,  г. Москва,  ул. Большая Полянка,  д. 51А/9, этаж 8, помещ. I, ком. 1, офис А5М","finexlegal.ru","post@finexlegal.ru","","","1"
"366","31.08.2020,  17907/20/13653-ОД","Общество с ограниченной ответственностью профессиональная коллекторская организация «Центр юридических и финансовых услуг», ООО ПКО «ЦЮФУ»","ОГРН 1171719001706,  ИНН 1701060338","ООО «Абсолют Страхование», период действия договора с 11.03.2025 по 10.03.2026","667004,  Республика Тыва,  г. Кызыл,  ул. Новостроек, д. 1","center-collector.ru","center-collector@mail.ru","","04.08.2025, 17907/25/21594-ОД",""
"367","02.09.2020,  25922/20/39160-ЭП","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ДВ Капитал», ООО ПКО «ДВК»","ОГРН 1192536018619,  ИНН 2536317839","СПАО «Ингосстрах», период действия договора с 17.09.2025 по 16.09.2026","690091,  Приморский край,  г. Владивосток,  ул. Светланская, д. 51, офис 3","dv-capital.ru","info@dv-capital.ru","","","1"
"368","08.09.2020,  56922/20/25935-ГК","Общество с ограниченной ответственности «Профессиональная коллекторская организация «АЕ ГРУПП», ООО «ПКО «АЕГ»","ОГРН 1175658016731,  ИНН 5650011464","СПАО «Ингосстрах», период действия договора с 07.08.2025 по 06.08.2026","460052,  Оренбургская область,  г. Оренбург,  ул. Автомобилистов,  д. 2/2, помещ. 6","aegroup.su","aegroup.moscow@mail.ru","","","1"
"369","15.09.2020,  78922/20/39860-АЛ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Агентство К «Примирение», ООО ПКО «Агентство К «Примирение»","ОГРН 1187847309066,  ИНН 7804630189","ООО «Абсолют Страхование», период действия договора с 23.05.2026 по 22.05.2027","196128,  г. Санкт-Петербург,  ул. Кузнецовская,  д. 11, литер А,  помещ. 40-Н","kprimirenie.ru","info@kprimirenie.ru","","","1"
"370","15.09.2020,  21907/20/29195-ЕН","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Поволжское агентство по взысканию долгов», ООО «ПКО «Поволжское агентство по взысканию долгов»","ОГРН 1202100001751,  ИНН 2117003208","АО «Совкомбанк Страхование», период действия договора с 01.08.2025 по 31.07.2026","429170,  Чувашская Республика – Чувашия,  Шемуршинский район, с. Шемурша,  ул. Ленина, д. 27А","павд.рф","pavd21@bk.ru","","","1"
"371","17.09.2020,  50922/20/103782-НК","Общество с ограниченной ответственностью Профессиональная Коллекторская Организация «Альфа», ООО ПКО «Альфа»","ОГРН 1205000042774, ИНН 5024204901","АО «Совкомбанк страхование», период действия договора с 01.08.2025 по 31.07.2026","143402,  Московская область,  г. Красногорск,  ул. Пионерская, д. 10,  помещ. 1, ком. 2","alfa.credit","mail@alfa.credit","","","1"
"372","23.09.2020,  32907/20/17622-ЕБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «МКС», ООО ПКО «МКС»","ОГРН 1063255001886, ИНН 3255049294","ООО «Абсолют Страхование», период действия договора с 15.06.2025 по 14.06.2026","241013,  Брянская область,  г. Брянск,  ул. Ульянова, д. 103,  офис 11","mks32.ru","mks.32@yandex.ru","","","1"
"373","29.09.2020,  56922/20/28920-ГК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Статус», ООО «ПКО «Статус»","ОГРН 1165658072887,  ИНН 5612165093","ООО «Абсолют Страхование», период действия договора с 16.02.2026 по 15.02.2027","460018,  Оренбургская область,  г. Оренбург,  ул. Расковой,  влад. 10А","k-a-c.ru","kac.status@yandex.ru","","","1"
"374","05.10.2020,  77922/20/511168-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Цербер», ООО «ПКО «Цербер»","ОГРН 1147746738028,  ИНН 7709957219","ООО «Абсолют Страхование», период действия договора с 16.04.2026 по 15.04.2027","117342,  г. Москва, вн.тер.г. муниципальный округ Коньково,  ул. Бутлерова, д. 17, помещ. 95/3","kacerber.ru","legal@kacerber.ru","","","1"
"375","06.10.2020,  21907/20/31642-ДБ","Акционерное общество «Профессиональная коллекторская организация «Инвест Групп», АО «ПКО «Инвест Групп»","ОГРН 1247800047703,  ИНН 7807277797","«Абсолют Страхование», срок действия договора С 26.09.2024 по 25.09.2025","198206,  г. Санкт-Петербург, вн.тер.г. муниципальный округ Сосновая Поляна, ш. Петергофское, д. 73, литера Т,  помещ. 1-Н, офис 17/4, рабочее место 3","invest-gr.ru.com","info@invest-grupp.com","","","1"
"376","14.10.2020,  72922/20/46265-КХ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Аскалон», ООО «ПКО «Аскалон»","ОГРН 1197232028388,  ИНН 7203492939","СПАО «Ингосстрах», период действия договора с 23.01.2026 по 22.01.2027","628403,  ХМАО-Югра,  г. Сургут,  ул. 30 лет Победы,  зд.44 А, офис 8/1","dolgi72.ru","askalon.me@yandex.ru","","","1"
"377","15.10.2020,  19907/20/22626-АР","Общество с ограниченной ответственностью профессиональная коллекторская организация «Андрушонок и Партнеры», ООО ПКО «Андрушонок и Партнеры»","ОГРН 1161901056492,  ИНН 1901132653","АО «АльфаСтрахование», период действия договора с 23.09.2025 по 22.09.2026","655017, Республика Хакасия,  г. Абакан,  ул. Маршала Жукова,  стр. 46, литера А,  помещ. 2Н, каб. 214","andrushonok.ru","nandrushonok@mail.ru","","","1"
"378","20.10.2020,  54922/20/69563-ЭБ","Общество с ограниченной ответственностью Профессиональная Коллекторская Организация «Бустер.Ру», ООО ПКО «Бустер.Ру»","ОГРН 1205400014467,  ИНН 5406805083","ООО «Зетта Страхование», период действия договора с 02.10.2025 по 01.10.2026","630099,  Новосибирская область, г.о. город Новосибирск, г. Новосибирск,  ул. Советская, д. 23","BOOSTR-RU.RU","info@ca-mir.ru","","","1"
"379","28.10.2020,  66922/20/113117-АС","Общество с ограниченной ответственностью Профессиональная коллекторская организация «АСТРА ФИНАНС», ООО ПКО «АСТРА ФИНАНС»","ОГРН 1026601724665,  ИНН 6629013284","ООО «Абсолют Страхование», период действия договора с 19.03.2026 по 18.03.2027","624132,  Свердловская область,  г. Новоуральск,  ул. Фрунзе, дом 5","astrafin.ru","info@astrafin.ru","","","1"
"380","13.11.2020,  54922/20/77096-ЭБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Интел коллект», ООО ПКО «Интел коллект»","ОГРН 1205400001399, ИНН5407977286","СПАО «Ингосстрах», период действия договора с 28.02.2026 по 27.02.2027","630099,  Новосибирская область, г.о. город Новосибирск,  г. Новосибирск,  ул. Максима Горького, д. 24","intelcollect.ru","support@intelcollect.ru","","",""
"381","18.11.2020,  37907/20/27976-НТ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация ВПК-Капитал», ООО «ПКО ВПК-Капитал»","ОГРН 1203700004375,  ИНН 3702239395","ПАО СК «Росгосстрах», период действия договора с 05.10.2025 по 04.10.2026","155000, Ивановская область,  г. Иваново,  ул. Красногвардейская, д. 3, офис 3001","vpk-capital.ru","info@vpk-capital.ru","","","1"
"382","19.11.2020,  77922/20/551078-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Гарнет-Финанс», ООО ПКО «Гарнет-Финанс»","ОГРН 1187746915740,  ИНН 7704464202","ООО «Абсолют Страхование», период действия договора с 25.10.2024 по 24.10.2025","125080,  г. Москва,  ул. Сурикова, д. 24,  цокольный этаж,  помещ. IV, ком. 2","boostcollect.ru","info@garnet24.com","","","1"
"383","19.11.2020,  77922/20/551091-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Консалт Плюс», ООО ПКО «Консалт Плюс»","ОГРН 5147746341199,  ИНН 7722862647","АО «Совкомбанк страхование», период действия договора с 05.10.2025 по 04.10.2026","115088,  г.Москва,  ул.Шарикоподшипниковская,  д. 4, корп. 3Б, этаж 1, помещ. II,  ком. 15, 16, 20-24","consaltplusmsk.ru","info@consaltplusmsk.ru","","","1"
"384","25.11.2020,  52922/20/76471-ЛМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация Финансовая группа «Альтернатива», ООО «ПКО ФГ «Альтернатива»","ОГРН 1205200034445,  ИНН 5257198753","АО «АльфаСтрахование», период действия договора с 07.10.2025 по 06.10.2026","603028,  Нижегородская область,  г. Нижний Новгород,  ул. Комсомольское шоссе,  д. 5, помещ. 7,  офис 412","fg-alt.ru","ncernov679@gmail.com","","","1"
"385","01.12.2020,  77922/20/560543-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Тристар», ООО ПКО «Тристар»","ОГРН 1117746013065,  ИНН 7701903564","СПАО «Ингосстрах», период действия договора с 14.08.2024 по 13.08.2025","105064,  г. Москва,  ул. Земляной Вал,  д. 36, офис 504","tristar-kollector.ru","tristar.ooo@yandex.ru","","","1"
"386","02.12.2020,  18922/20/39294-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЭВЕНТУС», ООО ПКО «ЭВЕНТУС»","ОГРН 1131840000412,  ИНН 1840014201","СПАО «Ингосстрах», период действия договора с 02.11.2025 по 01.11.2026","426008,  Удмуртская Республика, г.о. город Ижевск,  г. Ижевск,  ул. Пушкинская,  д. 266","18eventus.ru","18eventus@gmail.com","","","1"
"387","07.12.2020,  74910/20/83048-ЮТ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЕвАрти», ООО ПКО «ЕвАрти»","ОГРН 1207400023830,  ИНН 7456045628","АО «АльфаСтрахование», период действия договора с 27.08.2025 по 26.08.2026","455017,  Челябинская область,  г.о. Магнитогорский,  г. Магнитогорск,  ул. Советская, д. 40, офис 2","evarti.ru","help@evarti.ru","","","1"
"388","10.12.2020,  34922/20/101564-ВЕ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Автомани», ООО ПКО «Автомани»","ОГРН 1143443023459,  ИНН 3459011764","АО «АльфаСтрахование», период действия договора с 09.11.2025 по 08.11.2026","400048,  Волгоградская область,  г. Волгоград,  ул. Авторемонтная,  д. 10А, офис 1","am-collector.ru","ooo.avtomani@yandex.ru","","","1"
"389","16.12.2020, 34922/20/102878-ВЕ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «АБР-Групп»,  ООО ПКО «АБР-Групп»","ОГРН 1193443005018,  ИНН 3461064925","ООО СК «Гелиос», период действия договора с 01.12.2025 по 30.11.2026","443099,  Самарская область,  г.о. Самара,  вн. р-н Самарский г. Самара,  ул. Фрунзе.  д. 72, офис 11","pko-abrg.ru","info@abrgryp.ru","","","1"
"390","17.12.2020,  77922/20/574103-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Антарес», ООО «ПКО «Антарес»","ОГРН 1207700362540,  ИНН 9709065653","АО «АльфаСтрахование», период действия договора с 25.11.2025 по 24.11.2026","430027,  Республика Мордовия, г.о. Саранск, г. Саранск, ул. Гагарина,  д. 99А, офис 203","kb-antares.ru","kb-antares@yandex.ru","","17.06.2026, 13907/26/12997-ВБ",""
"391","17.12.2020,  77922/20/574104-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Альфа-Легион», ООО «ПКО «Альфа-Легион»","ОГРН 1207700394340,  ИНН 9728016108","СПАО «Ингосстрах», период действия договора с 01.12.2025 по 30.11.2026","117630, г. Москва, вн.тер.г. муниципальный округ Обручевский, ш. Старокалужское, д.62, этаж 3, помещ. 332","pko-alfalegion.ru","pko-alfalegion@mail.ru","","","1"
"392","18.12.2020,  76907/20/43853-СВ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «АРКА», ООО ПКО «АРКА»","ОГРН 1207600007350,  ИНН 7627053269","АО «Совкомбанк Страхование», период действия договора с 01.08.2025 по 31.07.2026","150008,  Ярославская область, Ярославский р-н,  д. Мологино,  ул. 4-я Изумрудная,  д. 36","pkoarka.ru","info@pkoarka.ru","","","1"
"393","22.12.2020,  16922/20/48487717-АЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Гамаль», ООО ПКО «Гамаль»","ОГРН 1191690067821,  ИНН 1655422277","АО «Боровицкое страховое общество», период действия договора с 14.12.2025 по 13.12.2026","420111,  Республика Татарстан, г. Казань,  ул. Островского  д. 35А, офис 214","гамаль.рф","skgamal@mail.ru","","","3"
"394","25.12.2020,  40907/20/27789-ИЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «РУСФИНАЛЬЯНС», ООО ПКО «РУСФИНАЛЬЯНС»","ОГРН 1204000005263,  ИНН 4027143645","ООО «Абсолют Страхование», период действия договора с 01.01.2024 по 31.12.2024","248002,  Калужская область,  г. Калуга,  ул. Болдина, зд. 71, офис 213","rus-finalyans.ru","info@rusfinalyans.ru","","29.10.2024, 40907/24/46532-БН",""
"395","25.12.2020,  54922/20/92045-ЭБ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «СЛУЖБА АКТИВНОГО ВЗЫСКАНИЯ», ООО «ПКО «САВ»","ОГРН 1145476047980,  ИНН 5403358084","СПАО «Ингосстрах», период действия договора с 01.07.2025 по 30.06.2026","630089,  Новосибирская область,  г. Новосибирск,  ул. Бориса Богаткова,  д. 248а, офис 13","ooo-sav.ru","sav_ooo@mail.ru","","","1"
"396","25.12.2020,  54922/20/92051-ЭБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Сопровождение плюс», ООО ПКО «Сопровождение плюс»","ОГРН 1145476091848, ИНН 5433198695","СПАО «Ингосстрах», период действия договора с 23.07.2025 по 22.07.2026","630512,  Новосибирская область, район Новосибирский, поселок Тулинский,  ул. Центральная, д. 9а","splus-nsk.ru","novosib_sp@mail.ru","","","1"
"397","29.12.2020,  64922/20/76388-ИР","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Резон-АНС», ООО ПКО «Резон-АНС»","ОГРН 1026403683349,  ИНН 6455031846","АО «АльфаСтрахование», период действия договора с 11.11.2024 по 10.11.2025","108824,  г. Москва, вн.тер.г.поселение «Рязановское»,  ул. Логинова,  д. 7, к. 2, помещ. 5Н","rezon-ans64.ru","rezon-ans64@yandex.ru","","","1"
"398","29.12.2020,  50922/20/161494-НК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Коллекторское Бюро 911», ООО ПКО «КБ 911»","ОГРН 1205000057778,  ИНН 5017123578","ООО «Абсолют Страхование», период действия договора с 23.11.2025 по 22.11.2026","143500,  Московская область,  г. Истра,  д. Андреевское,  ул. Луговая, д. 69","kb911.su","kb911@kb911.su","","","1"
"399","29.12.2020,  18922/20/46875-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация СИРИУС», ООО ПКО «СИРИУС»","ОГРН 1184632009143,  ИНН 4632245370","СПАО «Ингосстрах», период действия договора с 01.09.2025 по 31.08.2026","426006,  Удмуртская Республика,  г. Ижевск,  проезд им. Дерябина, д. 3,офис 402","cfr-sirius.ru","info@cfr-sirius.ru","","","1"
"400","02.02.2021,  18922/21/4132-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Грифон», ООО ПКО «Грифон»","ОГРН 1181832017180,  ИНН 1831191162","СПАО «Ингосстрах», период действия договора с 14.12.2025 по 13.12.2026","426004,  Удмуртская Республика, г.о. город Ижевск, г. Ижевск,  ул. Ленина,  д. 46","grif-on.ru","info@grif-on.ru","","","1"
"401","04.02.2021,  11922/21/4038-ДК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Долг Консалтинг», ООО «ПКО «Долг Консалтинг»","ОГРН 1201100004600,  ИНН 1101169887","ООО «Абсолют Страхование», период действия договора с 15.11.2025 до 14.11.2026","167000,  Республика Коми, г. Сыктывкар, ул. Ленина,  д. 74, пом. Н-53","www.dolgconsalting.ru","Nenev.rv@gmail.com","","","1"
"402","04.02.2021,  34922/21/14459-ЮБ","Общество с ограниченной ответственностью ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ «ЭНЕРГИЯ», ООО ПКО «ЭНЕРГИЯ»","ОГРН 1123443004343,  ИНН 3443117300","АО «АльфаСтрахование», период действия договора с 13.01.2026 до 12.01.2027","400078,  Волгоградская область,  г.о. Город-герой Волгоград, г. Волгоград,  пр-т им. В.И. Ленина, д. 100, офис 4.17","urictenergy.ru","urict.energy@gmail.com","","","1"
"403","15.02.2021,  66922/21/14678-АС","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Синара партнер», ООО «ПКО «Синара партнер»","ОГРН 1196658076196,  ИНН 6685168732","ООО «АМТ Страхование», период действия договора с 10.09.2025 по 09.09.2026","620026,  Свердловская область,  г. Екатеринбург,  ул. Куйбышева, стр. 58,  ком. 203","lcc-partner.ru","info@lcc-partner.ru","","","1"
"404","16.02.2021; 77922/21/721031-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Бизнес содействие консалт», ООО «ПКО «БСК»","ОГРН 1207700206889,  ИНН 9705144752","АО «АльфаСтрахование», период действия договора с 01.12.2025 по 30.11.2026","115172, г. Москва, вн.тер.г. муниципальный округ Таганский, ул. Гончарная, д.30, стр.1","bsk-agency.ru","businessodeystvieconsult@gmail.com","","","1"
"405","19.02.2021,  18922/21/9632-ИН","«Профессиональная коллекторская организация» Общество с ограниченной ответственностью «Юридическая Финзащита», «ПКО» ООО «Юридическая Финзащита»","ОГРН 1141841007285,  ИНН 1841045690","АО «Совкомбанк страхование», период действия договора с 25.05.2025 по 24.05.2026","426006,  Удмуртская Республика,  г.о. город Ижевск,  г. Ижевск ул. Пушкинская, д. 169, кв. 22","yuridfinans.ru","urid-finans@mail.ru","","19.03.2026, 18922/26/14053-ИН",""
"406","24.02.2021,  66922/21/19098-АС","Общество с ограниченной ответственностью «РЕГОЛА», ООО «РЕГОЛА»","ОГРН 1196658043900,  ИНН 6686116656","СПАО «Ингосстрах», период действия договора с 10.12.2021 по 09.12.2022","620057,  Свердловская область,  г. Екатеринбург,  ул. Фрезеровщиков, д. 78, кв. 71","regolaek.ru","regolaekt@yandex.ru","","29.11.2022, 66922/22/101334-АС",""
"407","01.03.2021,  21907/21/7405-ДБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Удача», ООО ПКО «Удача»","ОГРН 1202100008021,  ИНН 2130221558","ООО «Абсолют Страхование» период действия договора с 15.11.2025 по 14.11.2026","428027,  Чувашская Республика – Чувашия, г.о. город Чебоксары, г. Чебоксары,  ул. Хузангая, д. 14, офис 512 А","udaca.ru","mail@udaca.ru","","","1"
"408","03.03.2021,  52922/21/14152-ЛМ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Финансовая компания «Конгломерат», ООО ПКО «ФК «Конгломерат»","ОГРН 1205200046226,  ИНН 5260474996","АО «Зетта Страхование», период действия договора с 08.02.2025 по 07.02.2027","603000,  Нижегородская область, г.Нижний Новгород,  ул. Звездинка, д. 20А,  помещ. 2, этаж 1","fk-conglomerate.ru","fk-conglomerate@yandex.ru","","","1"
"409","03.03.2021,  77922/21/734168-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Результат», ООО «Профессиональная коллекторская организация «Результат»","ОГРН 1207700211510,  ИНН 9715385482","ПАО СК «Росгосстрах», период действия договора с 21.10.2025 по 20.10.2026","127015,  г. Москва, вн.тер.г.муниципальный округ Бутырский,  ул. Новодмитровская,  д. 2, корп. 1, помещ. 8/10","resultat.cash","Timur0302@inbox.ru","","","1"
"410","09.03.2021,  14907/21/10406-АР","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Агентство по реструктуризации долгов», ООО ПКО «АРСД»","ОГРН 1191447013229,  ИНН 1435346165","АО «АльфаСтрахование», период действия договора с 08.11.2025 по 07.11.2026","677000,  Республика Саха (Якутия),  г. Якутск,  ул. Кирова, д.12, каб. 3052","arsd-ykt.ru","ard-ykt@mail.ru","","","1"
"411","16.03.2021,  74910/21/23813-ЮТ","Общество с ограниченной ответственностью «Финансовая перспектива», ООО «Финансовая перспектива»","ОГРН 1157453006963,  ИНН 7453284280","СПАО «Ингосстрах», период действия договора с 08.06.2021по 07.06.2022","454080,  Челябинская область,  г. Челябинск,  ул. Энтузиастов, д. 15Г, офис 4","finpersp.ru","finpersp@mail.ru","","09.06.2022, 74910/22/38259-ЮТ",""
"412","16.03.2021,  77922/21/742960-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Гольфстрим-Р», ООО ПКО «Гольфстрим-Р»","ОГРН 1187746489204,  ИНН 7735174895","СПАО «Ингосстрах», период действия договора с 14.12.2023 по 13.12.2024","123112,  г. Москва, вн.тер.г. муниципальный округ Пресненский, наб. Пресненская, д. 10, стр. 2, помещ. 88","golfstream-r.ru","info@gs-r.ru","","","1"
"413","17.03.2021,  24922/21/4-ВВ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Эксперт», ООО ПКО «Эксперт»","ОГРН 1112468078931,  ИНН 2465265116","СПАО «Ингосстрах», период действия договора с 08.02.2026 по 07.02.2027","660020,  Красноярский край,  г. Красноярск,  ул. Спандаряна, зд. 13,  помещ. 15","collector24.ru","mailto@collector24.ru","","","3"
"414","18.03.2021,  03907/21/7474-АА","Общество с ограниченной ответственностью «НИКА», ООО «НИКА»","ОГРН 1180327011512,  ИНН 0326563288","СПАО «Ингосстрах», период действия договора с 18.11.2021 по 17.11.2022","670000,  Республика Бурятия,  г.Улан-Удэ,  ул. Борсоева, 33А, каб. 201","ooonika03.nethouse.ru","ooo_nika03@mail.ru","","02.11.2022, 03907/22/117595-КЩ",""
"415","24.03.2021,  61922/21/30417-ЕК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Премьер», ООО ПКО «Премьер»","ОГРН 1196196052865,  ИНН 6161090133","ООО «Ингосстрах», период действия договора с 18.01.2026 по 17.01.2027","344092,  Ростовская область,  г. Ростов-на-Дону,  пр. Королева, д. 7/19, офис 601","prcll.ru","premierkompani@bk.ru","","","1"
"416","24.03.2021, 61922/21/30418-ЕК","Общество с ограниченной ответственностью профессиональная коллекторская организация «ЮГ-ПАРТНЁРС», ООО «ПКО «ЮГ-ПАРТНЁРС»","ОГРН 1117847266767,  ИНН 7841447135","АО «АльфаСтрахование», период действия договора с 21.12.2025 по 20.12.2026","344056,  Ростовская область, г. Ростов-на-Дону,  ул. Белорусская, д. 44/71,  офис 1","юг-партнёрс.рф","vopros_partners@collecshn.ru","","","1"
